Topic,Count,Name,Representation,Representative_Docs
-1,111,-1_work_home_pay_able,"['work', 'home', 'pay', 'able', 'job', 'makes', 'stress', 'working', 'worrying', 'jobs']","['my unstable housing situation causes me to worry about my basic needs & distracts me from teaching & research. lack of space where i live & distance from campus make work more difficult.', ""worried about doing something wrong at work to which ended up causing mistakes and i always thought i was going to get fired and wouldn't be able to pay rent. couldn't focus on tasks at work because i was affected by multiple job rejections a day."", 'i feel secure; my disabled adult son lives with a family member and he and i feel insecure about his current and long term living situation, esp. when i retire and am on a fixed income. i will need to continue working as long as possible to help support my son.']"
0,68,0_hungry_eat_lunch_tired,"['hungry', 'eat', 'lunch', 'tired', 'focus', 'work', 'healthy', 'hungry work', 'stomach', 'hungry tired']","['often hungry', 'often hungry', ""lunch time is touch because i often push back my lunch hour to complete tasks at work and by the time i leave for lunch i feel rushed to come back due to it being outside of my allotted time so i usually don't eat until i get home after work.""]"
1,38,1_food_housing_food housing_insecurity,"['food', 'housing', 'food housing', 'insecurity', 'housing insecurity', 'insecurity affects', 'food insecurity', 'students', 'affects', 'housing insecure']","['in my office, we all work with students. their success in school is affected by food and housing insecurity. poor wages also affect staff. at least one staff member in the office has to choose between medication and other essentials.', 'i have staff and students who are regularly affected by food insecurity including full-time employees who go to the food bank. the food insecurity and related stress impacts their ability to focus at work and produce high quality work.', 'the food, the housing, the insecurity, it all affects the work']"
2,29,2_doesn doesn_doesn_moment doesn_doesn moment,"['doesn doesn', 'doesn', 'moment doesn', 'doesn moment', 'moment', 'really doesn', 'thankfully luckily', 'luckily doesn', 'luckily', 'doesn thankfully']","[""it doesn't."", ""it doesn't"", ""it doesn't!""]"
3,27,3_affect work_affect_doesn affect_work,"['affect work', 'affect', 'doesn affect', 'work', 'work time', 'work doesn', 'doesn', 'affecting work', 'affecting', 'don']","[""it doesn't affect my work."", ""it doesn't affect my work at this time."", ""it doesn't affect my work at this time.""]"
4,26,4_makes_causes_affects_hard concentrate,"['makes', 'causes', 'affects', 'hard concentrate', 'makes hard', 'stress', 'affects mental', 'stress level', 'level', 'work affects']","['i makes it hard to concentrate.', 'it affects my ability to do my job well, and the mood i carry with me to work while under duress from this situation impacts the work environment.', 'increases anxiety which interferes with sleep which interferes with getting to work on time and completing all of my job duties.']"
5,22,5_students_class_classes_students ability,"['students', 'class', 'classes', 'students ability', 'greatly', 'impacts students', 'ability', 'effects', 'impacts', 'affects']","['impacts students ability to fully engage in classes and learn', 'it seriously impacts my students and the populations that my students are learning to serve. our admissions are affected and we are getting more students who are asking for a waiver of the application fee', 'it can be a significant issue for my students in my classes- which might cause all sorts of other problems and lead them to do poorly in the class or drop the class.']"
6,21,6_food_prices_buy_food prices,"['food', 'prices', 'buy', 'food prices', 'expensive', 'choices', 'means', 'mean', 'prices increased', 'food expensive']","[""food has been hard! it doesn't help that the las cruces public schools is serving such awful foods that my kids are requiring me to pack a lunch which puts a greater strain on me and our family income."", 'with a career change food insecurity has gotten better. i dont miss as much work as i used to. but with growing medical bills it has become a balancing act to pay bills and buy food.', 'increasing food prices mean tough choices about meals and what we have at home. i have to make several grocery trips to find deals and that means less time working']"
7,20,7_isn isn_isn__,"['isn isn', 'isn', '', '', '', '', '', '', '', '']","[""it isn't"", ""it isn't"", ""it isn't""]"
8,18,8_bills_money_paycheck_worrying,"['bills', 'money', 'paycheck', 'worrying', 'month', 'constantly', 'going', 'constantly worrying', 'paying bills', 'worry']","[""i can't focus on doing anything more than the bare minimum because my thoughts are always off about what i need to do, what i can afford (and can't afford) to do, and what i could do to change my current circumstances."", 'i wake up in the middle of the night by stress. always thinking in how i will get more money to pay the bills and mortgage.', 'you just worry about the week and how you are going to make it with the money you have after paying bills and helping my mother. you have to think about how you are going to stretch your income until the next paycheck.']"
9,16,9_rent_control_rentals_rates,"['rent', 'control', 'rentals', 'rates', 'gallup', 'need', 'afford', 'rental', 'live', 'place']","['i worry i will never be able to afford a place of my own because costs and interest rates are out of control.', 'i just moved to a new apartment in santa fe. rent is double what i was paying. needed to cut back expenses on food/etc.', 'the lack of rental control is really affecting my small family. i feel like things need to be chosen between the location of where we live (i.e. safe, less crime) and/or quality of ingredients/food.']"
10,16,10_position_extra_paying_need,"['position', 'extra', 'paying', 'need', 'looking', 'better', 'make', 'supplement', 'summer', 'paying position']","['i am often stressed or thinking about extra ways to make money to supplement my faculty income.', 'i am stressed about finding summer work so i can pay rent in the summer. i also need to find a second part-time job to supplement my income as an adjunct. this stress can distract me or deplete my energy for my teaching duties.', ""i'm always looking for a better paying job. i don't want to leave/change roles but i need to make more money to support my family.""]"
11,14,11_focus_hard focus_focus hard_distracted,"['focus', 'hard focus', 'focus hard', 'distracted', 'concentration', 'hard', 'stress depressing', 'distracted concentration', 'impacts focus', 'focus going']","[""i often can't focus"", 'hard to focus.', 'hard to focus']"
12,12,12_stress stress_stress_stressed_timing,"['stress stress', 'stress', 'stressed', 'timing', 'stressed stressed', 'stressed concentration', 'stress motivation', 'motivation stressed', 'motivation', 'timing stress']","['stress', 'stress', 'stress']"
13,11,13_little_negatively severely_moderate poorly_mildly,"['little', 'negatively severely', 'moderate poorly', 'mildly', 'lot little', 'little moderate', 'little lot', 'huge times', 'huge', 'moderate']","['huge.', 'a little!', 'very little']"
14,11,14_yes_good_good good_yes good,"['yes', 'good', 'good good', 'yes good', 'previous answer', 'yes previous', 'good fine', 'fine yes', 'bad yes', 'answer bad']","['yes', 'yes...', 'yes']"
15,11,15_hasn_hasn hasn_hasnâ_hasnâ hasnâ,"['hasn', 'hasn hasn', 'hasnâ', 'hasnâ hasnâ', 'hasnâ hasn', 'hasn hasnâ', '', '', '', '']","[""hasn't."", ""it hasn't"", ""hasn't""]"
16,10,16_lack_health_lack energy_depression,"['lack', 'health', 'lack energy', 'depression', 'medical', 'stress', 'mental health', 'work', 'energy', 'mental']","['stress combined with existing and worsening medical conditions has made getting through work responsibilities impossible sometimes', ""due to health related issues and medical appointments, i have had to miss work and use a lot of my sick leave hours.  this negatively affected my workload and mental health due to the stress accompanied with pending projects and to do's."", 'where do i begin? stress, anxiety, depression, lack of time, lack of energy, lack of hope, lack of mental health, lack of support or understanding from work.']"
17,9,17_10_oct 12_oct_aug,"['10', 'oct 12', 'oct', 'aug', '12 10', '12', '10 oct', '10 aug', '', '']","['12', '10-oct', '10-aug']"
18,9,18_years_inflation_making_position,"['years', 'inflation', 'making', 'position', 'makes', 'job need', 'meet competing', 've unm', 'raise', '15']","['always competing to get full time work to rise above the cost of living since covid changed everything.', 'makes me take on a heavier workload to counter inflation and rising costs and make ends meet.', ""it makes me angry that it's so hard to get a raise in line with inflation. i've been with unm for over 15 years and while we get good benefits, those are also extremely expensive. even as a single mom i shouldn't have to struggle this much after this many years.""]"
19,8,19_doesnâ_doesnâ doesnâ_doesâ doesnâ_doesn make,"['doesnâ', 'doesnâ doesnâ', 'doesâ doesnâ', 'doesn make', 'let just', 'just doesâ', 'problems doesn', 'doesâ', 'doesn problems', 'doesnâ doesn']","['it doesnâ€™t.', 'it doesnâ€™t', 'it doesnâ€™t']"
20,8,20_price_car_feel_couldn,"['price', 'car', 'feel', 'couldn', 'tired', 'order', 'sleep', 'like', 'day', 'housing']","[""i lost my last job because they changed my work location, which i couldn't do with my car that couldn't handle the commute and was shared, getting two people to and from work."", ""it has made me feel hopeless with work, seems like my paycheck is gone the same day i get paid and i feel like all of those hours work is just a waste. i feel tired because and i can't sleep and i can't sleep because i am stressed or worried. i have to push myself to get through the day sometimes."", ""rent is too expensive and was forced to move back with parents. will probably end up leaving abq to find a good home at a decent price. the housing market is terrible and can't afford a $200,000+ house on my salary.""]"
21,8,21_isnâ_isn_isn currently_currently,"['isnâ', 'isn', 'isn currently', 'currently', 'isn isnâ', 'experience time', 'currently moment', 'currently isnâ', 'didnâ', 'isnâ didnâ']","['it isnâ€™t.', ""it isn't, currently."", ""it isn't currently""]"
22,7,22_worry students_worry_community worry_students,"['worry students', 'worry', 'community worry', 'students', 'students worry', 'community', 'administration', 'getting old', 'worry weâ', 'checks']","['i worry but weâ€™re fine. i more worry about my students', 'i worry about my students.', 'unm is going down and i am getting old. too many useless people in administration with fat checks and little brain.']"
